@RELATION '5chargen-120-171-212-192.168.1.32-ip-usr-unr-dun-po.arff'
@ATTRIBUTE 'IPv4 number(r)' NUMERIC
@ATTRIBUTE 'UDP size(r)' NUMERIC
@ATTRIBUTE 'UDP number(r)' NUMERIC
@ATTRIBUTE 'difference UDP number' NUMERIC
@ATTRIBUTE 'max port' NUMERIC
@ATTRIBUTE 'label' {yes,no}
@DATA
0,0,0,0,19,no
0,0,0,0,7,no
0,0,0,0,0,no
0,0,0,0,7,no
0,93,1,0,13,no
0,0,0,0,8,no
0,255,1,0,5,no
0,527,1,0,20,no
0,517,1,0,7,no
0,0,0,0,3,no
0,0,0,0,0,no
0,0,0,0,1,no
0,0,0,0,3,no
0,0,0,0,1,no
0,0,0,0,5,no
0,0,0,0,4,no
0,0,0,0,6,no
0,0,0,0,0,no
0,0,0,0,30,no
0,0,0,0,0,no
0,0,0,0,2,no
0,0,0,0,2,no
0,0,0,0,1,no
0,151,2,-4,2,no
0,5418,7,1,6,no
0,1918,23,-1,11,no
0,5248,20,-3,15,no
0,2190,9,-2,9,no
0,1306,4,4,11,no
0,5179,23,23,19,no
0,14162,86,86,52,no
0,18517,104,104,56,no
0,18175,99,53,52,no
0,11807,55,54,53,no
0,13911,58,56,51,no
0,9634,53,52,51,no
0,16953,77,-54,56,no
0,9465,60,-93,51,no
0,7972,52,-9,53,no
0,4732,41,-10,40,no
0,0,0,-51,4,no
0,120,2,-48,4,no
0,180,3,-47,4,no
0,60,1,-49,3,no
0,180,3,-47,4,no
0,60,1,-49,3,no
0,300,5,-48,4,no
0,120,2,-48,4,no
0,180,3,-47,3,no
0,1693,12,-38,12,no
0,6546,50,0,50,no
0,5196,52,1,52,no
0,5027,50,0,50,no
0,5254,50,0,50,no
0,5052,50,0,50,no
0,5012,49,-1,49,no
0,5426,53,-2,51,no
0,5285,51,1,51,no
0,4986,50,0,50,no
0,4952,50,0,50,no
0,5086,50,0,50,no
0,7291,51,1,51,no
0,6993,51,1,51,no
0,7991,50,0,50,no
0,7443,50,0,50,no
0,7838,50,0,50,no
0,7653,52,-1,50,no
0,7915,51,0,51,no
0,8027,50,0,50,no
0,7660,50,0,50,no
0,7693,50,0,50,no
0,8035,50,0,50,no
0,7569,50,0,50,no
0,7765,50,0,50,no
0,8003,50,0,50,no
0,6763,44,17,44,no
0,0,0,-4,10,no
0,60,1,1,119,no
0,0,0,0,57,no
0,0,0,0,13,no
0,1716,4,0,36,no
0,796,2,0,47,no
0,0,0,0,2,no
0,2290,5,0,24,no
0,472,1,0,17,no
0,0,0,0,15,no
0,0,0,-6,15,no
0,770,4,0,5,no
0,0,0,-2,9,no
0,0,0,-1,7,no
0,0,0,0,1,no
0,0,0,0,1,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,60,1,1,1,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,147,2,2,2,no
0,0,0,0,0,no
0,2610,10,0,10,no
0,0,0,0,0,no
0,519,2,0,6,no
0,1131,5,0,80,no
0,7963,11,1,125,no
0,16129,29,6,93,no
0,0,0,0,0,no
0,0,0,0,0,no
0,294,3,0,2,no
0,0,0,-9,0,no
0,0,0,-3,123,no
64,32538,32,29,32,yes
91,15852,32,32,32,yes
183,53271,61,61,61,yes
78,20741,30,23,23,yes
80,16257,20,20,20,yes
4,146084,693,682,683,yes
0,118004,121,118,115,yes
89,40718,95,95,94,yes
129,134517,129,129,129,yes
172,57641,100,100,100,yes
200,99918,107,99,99,yes
235,55288,88,88,88,yes
251,73588,83,83,83,yes
61,27471,21,21,21,yes
25,3311,6,6,6,yes
23,978,3,-9,3,yes
88,12284,17,4,17,yes
12,211230,417,361,311,yes
38,128313,114,63,93,yes
26,118460,99,46,87,yes
72,124945,107,61,77,yes
81,102253,89,55,56,yes
73,20431,25,22,23,yes
74,25633,32,21,25,yes
73,18130,24,18,19,yes
4,47327,494,493,494,yes
0,116555,150,142,137,yes
14,45184,52,30,36,yes
100,89671,101,100,100,yes
60,27683,38,38,38,yes
54,21730,27,27,27,yes
133,234641,203,123,165,yes
132,93842,90,67,48,yes
111,48607,37,37,37,yes
141,27113,42,33,32,yes
12,160902,383,383,383,yes
0,50294,61,61,61,yes
9,9832,14,14,14,yes
44,44160,44,44,44,yes
118,47119,72,72,72,yes
76,34816,36,36,36,yes
255,85791,104,104,104,yes
148,39188,49,49,49,yes
264,56025,75,75,75,yes
357,57558,89,89,89,yes
59,227331,755,755,755,yes
0,314620,378,378,378,yes
127,79162,156,156,156,yes
75,64888,75,75,75,yes
138,64302,87,87,87,yes
218,89863,109,109,109,yes
58,35697,29,29,29,yes
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,1,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,4247,4,0,11,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,3,no
0,0,0,0,0,no
0,10609,14,0,42,no
0,339,3,-1,5,no
0,1217,6,-1,10,no
0,4759,8,-1,9,no
0,179,2,-1,4,no
0,0,0,0,1,no
0,175,1,0,24,no
0,4279,15,-3,15,no
0,0,0,-3,2,no
0,831,3,0,3,no
0,0,0,0,58,no
0,4332,5,1,21,no
0,0,0,0,1,no
0,0,0,0,0,no
0,0,0,0,0,no
0,14737,29,-4,29,no
0,0,0,0,0,no
0,0,0,0,1,no
0,0,0,0,1,no
0,0,0,0,4,no
0,0,0,0,0,no
0,872,3,0,10,no
0,0,0,0,8,no
0,0,0,0,1,no
0,0,0,0,1,no
0,0,0,0,0,no
0,0,0,0,0,no
